Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Product_Base_Margin,Customer_Name,Province,Region,Customer_Segment,Order_Date,Order_Priority,Product_Category,Product_Sub_Category,Order_ID,Ship_Mode,Ship_Date
1,1,1,1,26154,0.04,6,0.08,MUHAMMED MACINTYRE,NUNAVUT,NUNAVUT,SMALL BUSINESS,2010-10-13,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,3,REGULAR AIR,2010-10-20
2,2,2,2,1012302,0.07,49,0.58,BARRY FRENCH,NUNAVUT,NUNAVUT,CONSUMER,2012-10-01,HIGH,OFFICE SUPPLIES,APPLIANCES,293,DELIVERY TRUCK,2012-10-02
2,3,3,2,24457,0.01,27,0.39,BARRY FRENCH,NUNAVUT,NUNAVUT,CONSUMER,2012-10-01,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,293,REGULAR AIR,2012-10-03
3,4,4,3,49657595,0.08,30,0.58,CLAY ROZENDAL,NUNAVUT,NUNAVUT,CORPORATE,2011-07-10,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,483,REGULAR AIR,2011-07-12
35,8,47,3,128537,0.01,42,0.42,CLAY ROZENDAL,NUNAVUT,NUNAVUT,CORPORATE,2009-01-30,CRITICAL,TECHNOLOGY,COMPUTER PERIPHERALS,5316,REGULAR AIR,2009-02-01
15,7,21,4,9748,0.05,21,0.08,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-03-12,NOT SPECIFIED,OFFICE SUPPLIES,RUBBER BANDS,1412,REGULAR AIR,2010-03-14
15,12,20,4,5903,0.01,13,0.38,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-03-12,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,1412,EXPRESS AIR,2010-03-14
20,1,27,4,37048,0.04,28,0.59,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-11-08,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,1792,REGULAR AIR,2010-11-13
4,2,5,4,39427,0.08,19,0.05,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-08-28,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,515,REGULAR AIR,2010-08-30
4,5,5,4,14669,0.05,21,0.37,CARLOS SOLTERO,NUNAVUT,NUNAVUT,CONSUMER,2010-08-28,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,515,REGULAR AIR,2010-08-30
5,1,7,5,90508,0.09,22,NULL,CARL JACKSON,NUNAVUT,NUNAVUT,CORPORATE,2011-06-17,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,613,REGULAR AIR,2011-06-18
5,3,6,5,9354,0.03,12,0.38,CARL JACKSON,NUNAVUT,NUNAVUT,CORPORATE,2011-06-17,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,613,REGULAR AIR,2011-06-17
6,1,8,6,278182,0.07,21,NULL,MONICA FEDERLE,NUNAVUT,NUNAVUT,CORPORATE,2011-03-24,HIGH,OFFICE SUPPLIES,STORAGE & ORGANIZATION,643,EXPRESS AIR,2011-03-25
7,6,9,7,22841,0.07,44,0.38,DOROTHY BADDERS,NUNAVUT,NUNAVUT,HOME OFFICE,2010-02-26,LOW,OFFICE SUPPLIES,PAPER,678,REGULAR AIR,2010-02-26
11,5,14,8,181549,0.03,46,0.53,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-05-30,MEDIUM,FURNITURE,OFFICE FURNISHINGS,995,REGULAR AIR,2011-05-31
8,6,10,8,19685,0.01,45,0.04,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2010-11-23,MEDIUM,OFFICE SUPPLIES,PAPER,807,REGULAR AIR,2010-11-24
8,7,10,8,12456,0.04,32,0.53,NEOLA SCHNEIDER,NUNAVUT,NUNAVUT,HOME OFFICE,2010-11-23,MEDIUM,OFFICE SUPPLIES,RUBBER BANDS,807,REGULAR AIR,2010-11-24
9,8,12,9,147433,0.04,31,0.71,CARLOS DALY,NUNAVUT,NUNAVUT,HOME OFFICE,2012-06-08,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,868,REGULAR AIR,2012-06-10
9,2,11,9,71684,0,32,0.05,CARLOS DALY,NUNAVUT,NUNAVUT,HOME OFFICE,2012-06-08,NOT SPECIFIED,OFFICE SUPPLIES,APPLIANCES,868,REGULAR AIR,2012-06-09
10,3,13,10,8061,0.02,15,0.37,CLAUDIA MINER,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-08-04,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,933,REGULAR AIR,2012-08-04
12,9,15,11,24826,0.07,16,0.04,ALLEN ROSENBLATT,NUNAVUT,NUNAVUT,SMALL BUSINESS,2009-11-25,NOT SPECIFIED,OFFICE SUPPLIES,ENVELOPES,998,REGULAR AIR,2009-11-26
13,11,17,12,663784,0.25,11,0.68,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,HOME OFFICE,2012-02-14,CRITICAL,FURNITURE,TABLES,1154,REGULAR AIR,2012-02-16
13,10,16,12,446223,0.04,44,0.06,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,HOME OFFICE,2012-02-14,CRITICAL,FURNITURE,BOOKCASES,1154,DELIVERY TRUCK,2012-02-16
14,4,19,13,24809205,0.01,18,0.58,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2012-04-15,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,1344,REGULAR AIR,2012-04-19
14,4,18,13,834904,0.06,15,0.59,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2012-04-15,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,1344,REGULAR AIR,2012-04-22
32,2,42,13,8955,0.06,9,0.06,JIM RADFORD,NUNAVUT,NUNAVUT,CORPORATE,2010-09-19,MEDIUM,OFFICE SUPPLIES,APPLIANCES,4612,REGULAR AIR,2010-09-21
16,3,22,14,51183,0.01,33,0.37,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2011-03-09,LOW,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,1539,REGULAR AIR,2011-03-11
16,8,23,14,18499,0.05,38,0.66,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2011-03-09,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,1539,REGULAR AIR,2011-03-14
19,14,26,14,1202823,0.01,25,0.38,CARL LUDWIG,NUNAVUT,NUNAVUT,CORPORATE,2010-12-23,HIGH,TECHNOLOGY,COPIERS AND FAX,1761,DELIVERY TRUCK,2010-12-25
17,13,24,15,809,0.09,30,0.56,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2012-08-04,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,1540,REGULAR AIR,2012-08-06
22,6,30,15,84532,0.06,21,0.36,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-01-01,NOT SPECIFIED,OFFICE SUPPLIES,PAPER,2277,REGULAR AIR,2011-01-03
22,8,29,15,6654,0.01,10,0.75,DON MILLER,NUNAVUT,NUNAVUT,HOME OFFICE,2011-01-01,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,2277,REGULAR AIR,2011-01-02
18,13,25,16,6724,0.06,23,0.54,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-05-06,HIGH,OFFICE SUPPLIES,PENS & ART SUPPLIES,1702,REGULAR AIR,2011-05-07
33,4,43,16,12100515,0.04,11,0.58,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,4676,REGULAR AIR,2011-09-01
33,4,43,16,4253009,0.01,30,0.58,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,4676,REGULAR AIR,2011-09-01
33,12,44,16,18783,0.03,50,0.37,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,OFFICE SUPPLIES,LABELS,4676,REGULAR AIR,2011-09-02
33,6,45,16,4959,0.07,3,0.38,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-08-31,HIGH,OFFICE SUPPLIES,PAPER,4676,EXPRESS AIR,2011-09-02
34,3,46,16,5938,0.01,7,0.39,ANNIE CYPRUS,NUNAVUT,NUNAVUT,HOME OFFICE,2011-07-08,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,5284,REGULAR AIR,2011-07-10
21,13,28,17,278,0.08,49,0.56,GRANT CARROLL,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-10-21,NOT SPECIFIED,OFFICE SUPPLIES,PENS & ART SUPPLIES,2275,REGULAR AIR,2012-10-22
23,4,31,18,426037,0.01,24,0.81,ALAN BARNES,NUNAVUT,NUNAVUT,CORPORATE,2011-10-10,HIGH,TECHNOLOGY,TELEPHONES AND COMMUNICATION,2532,REGULAR AIR,2011-10-11
23,12,31,18,28207,0.03,39,0.38,ALAN BARNES,NUNAVUT,NUNAVUT,CORPORATE,2011-10-10,HIGH,OFFICE SUPPLIES,LABELS,2532,REGULAR AIR,2011-10-11
24,8,32,19,107849,0.08,27,0.55,JACK GARZA,NUNAVUT,NUNAVUT,CORPORATE,2010-09-23,LOW,TECHNOLOGY,COMPUTER PERIPHERALS,2631,REGULAR AIR,2010-09-25
25,15,33,20,355446,0.07,39,0.57,JULIA WEST,NUNAVUT,NUNAVUT,CORPORATE,2011-07-19,CRITICAL,FURNITURE,CHAIRS & CHAIRMATS,2757,DELIVERY TRUCK,2011-07-19
26,15,35,21,558633,0.09,49,0.64,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-10-09,HIGH,FURNITURE,CHAIRS & CHAIRMATS,2791,DELIVERY TRUCK,2009-10-11
26,6,36,21,50764,0.01,18,0.04,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-10-09,HIGH,OFFICE SUPPLIES,PAPER,2791,REGULAR AIR,2009-10-10
26,3,34,21,19167,0,47,0.37,EUGENE BARCHAS,NUNAVUT,NUNAVUT,CORPORATE,2009-10-09,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,2791,REGULAR AIR,2009-10-09
27,15,37,22,1422382,0.09,30,0.06,EDWARD HOOKS,NUNAVUT,NUNAVUT,CONSUMER,2010-12-09,NOT SPECIFIED,FURNITURE,CHAIRS & CHAIRMATS,2976,DELIVERY TRUCK,2010-12-11
28,3,38,23,4266,0.06,5,0.35,BRAD EASON,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-10-08,CRITICAL,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,3232,REGULAR AIR,2012-10-10
29,6,39,24,42732,0,21,0.37,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-05-02,HIGH,OFFICE SUPPLIES,PAPER,3524,REGULAR AIR,2012-05-03
54,6,70,24,36804,0.07,19,0.38,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2011-09-29,CRITICAL,OFFICE SUPPLIES,PAPER,8419,EXPRESS AIR,2011-10-01
54,6,71,24,1526,0.01,24,0.37,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2011-09-29,CRITICAL,OFFICE SUPPLIES,PAPER,8419,REGULAR AIR,2011-09-30
55,1,72,24,333898,0,40,0.81,NICOLE HANSEN,NUNAVUT,NUNAVUT,SMALL BUSINESS,2012-05-04,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,8833,REGULAR AIR,2012-05-08
30,4,40,25,820284,0,8,0.57,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2010-03-08,MEDIUM,TECHNOLOGY,TELEPHONES AND COMMUNICATION,3908,REGULAR AIR,2010-03-08
49,8,63,25,131125,0,32,0.54,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,TECHNOLOGY,COMPUTER PERIPHERALS,6982,EXPRESS AIR,2011-11-18
49,5,65,25,84409,0.04,41,0.49,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,6982,REGULAR AIR,2011-11-18
49,10,64,25,54441,0.09,5,0.78,DOROTHY WARDLE,NUNAVUT,NUNAVUT,CORPORATE,2011-11-16,NOT SPECIFIED,FURNITURE,BOOKCASES,6982,DELIVERY TRUCK,2011-11-18
31,12,41,26,1476,0.01,5,0.36,AARON BERGMAN,NUNAVUT,NUNAVUT,CORPORATE,2011-05-28,NOT SPECIFIED,OFFICE SUPPLIES,LABELS,4132,REGULAR AIR,2011-05-30
36,6,48,27,4891,0.01,11,0.35,DON JONES,NUNAVUT,NUNAVUT,CORPORATE,2012-01-08,LOW,OFFICE SUPPLIES,PAPER,5409,REGULAR AIR,2012-01-13
37,6,49,28,12962,0.05,22,0.36,BETH THOMPSON,NUNAVUT,NUNAVUT,CORPORATE,2010-11-07,CRITICAL,OFFICE SUPPLIES,PAPER,5506,REGULAR AIR,2010-11-08
38,5,50,29,11897,0.09,12,0.55,FRANK PRICE,NUNAVUT,NUNAVUT,CORPORATE,2010-04-29,NOT SPECIFIED,FURNITURE,OFFICE FURNISHINGS,5569,REGULAR AIR,2010-05-01
39,4,51,30,618715,0,8,0.06,MICHELLE LONSDALE,NUNAVUT,NUNAVUT,HOME OFFICE,2011-12-31,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,5607,REGULAR AIR,2012-01-03
40,3,52,31,38433,0.01,7,0.38,ANN CHONG,NUNAVUT,NUNAVUT,CORPORATE,2009-08-12,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,5894,REGULAR AIR,2009-08-13
40,2,53,31,23903,0.01,3,0.55,ANN CHONG,NUNAVUT,NUNAVUT,CORPORATE,2009-08-12,HIGH,OFFICE SUPPLIES,APPLIANCES,5894,REGULAR AIR,2009-08-15
41,4,54,32,17333625,0.07,25,0.85,JOY BELL,NUNAVUT,NUNAVUT,HOME OFFICE,2011-11-12,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,5925,REGULAR AIR,2011-11-19
41,5,54,32,392242,0.08,44,0.67,JOY BELL,NUNAVUT,NUNAVUT,HOME OFFICE,2011-11-12,LOW,FURNITURE,OFFICE FURNISHINGS,5925,REGULAR AIR,2011-11-19
42,6,55,33,20828,0.07,19,0.36,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2012-01-20,HIGH,OFFICE SUPPLIES,PAPER,6016,REGULAR AIR,2012-01-20
46,6,60,33,29613,0.04,47,0.39,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2009-01-15,LOW,OFFICE SUPPLIES,PAPER,6884,REGULAR AIR,2009-01-20
46,6,60,33,217,0.01,41,0.36,SKYE NORLING,NUNAVUT,NUNAVUT,HOME OFFICE,2009-01-15,LOW,OFFICE SUPPLIES,PAPER,6884,REGULAR AIR,2009-01-20
43,16,56,34,962082,0.04,6,0.81,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,2009-03-20,MEDIUM,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",6116,REGULAR AIR,2009-03-22
51,9,67,34,75177,0.05,50,0.38,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,2010-06-08,MEDIUM,OFFICE SUPPLIES,ENVELOPES,7430,REGULAR AIR,2010-06-09
44,6,57,35,25548,0.04,40,0.36,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2012-07-21,LOW,OFFICE SUPPLIES,PAPER,6182,REGULAR AIR,2012-07-28
44,6,58,35,13032,0.04,18,0.37,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2012-07-21,LOW,OFFICE SUPPLIES,PAPER,6182,EXPRESS AIR,2012-07-25
50,15,66,35,63962,0.02,22,NULL,GRANT CARROLL,NUNAVUT,NUNAVUT,CORPORATE,2011-08-07,LOW,FURNITURE,CHAIRS & CHAIRMATS,7110,REGULAR AIR,2011-08-11
45,13,59,36,31236,0.07,11,0.57,ADRIAN HANE,NUNAVUT,NUNAVUT,CORPORATE,2012-06-12,CRITICAL,OFFICE SUPPLIES,PENS & ART SUPPLIES,6535,EXPRESS AIR,2012-06-15
47,1,61,37,43617,0.08,40,0.59,ANDREW GJERTSEN,NUNAVUT,NUNAVUT,CONSUMER,2010-06-04,LOW,OFFICE SUPPLIES,STORAGE & ORGANIZATION,6916,EXPRESS AIR,2010-06-08
48,3,62,38,13629,0.05,18,0.38,RALPH KNIGHT,NUNAVUT,NUNAVUT,CONSUMER,2010-02-18,NOT SPECIFIED,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,6980,REGULAR AIR,2010-02-19
52,2,68,39,100306,0.03,37,0.05,BETH PAIGE,NUNAVUT,NUNAVUT,CONSUMER,2009-10-17,MEDIUM,OFFICE SUPPLIES,APPLIANCES,7906,REGULAR AIR,2009-10-17
56,3,73,39,2416,0.08,5,0.37,BETH PAIGE,NUNAVUT,NUNAVUT,CONSUMER,2011-05-17,HIGH,OFFICE SUPPLIES,BINDERS AND BINDER ACCESSORIES,8995,EXPRESS AIR,2011-05-18
53,15,69,40,126672,0.04,4,0.56,SYLVIA FOULSTON,NUNAVUT,NUNAVUT,CORPORATE,2011-08-28,HIGH,FURNITURE,CHAIRS & CHAIRMATS,8391,DELIVERY TRUCK,2011-08-29
224,4,312,41,999226,0.02,33,0.39,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-30,NOT SPECIFIED,TECHNOLOGY,TELEPHONES AND COMMUNICATION,36135,REGULAR AIR,2011-05-31
251,4,347,41,1062959,0.07,15,0.35,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2010-02-06,LOW,TECHNOLOGY,TELEPHONES AND COMMUNICATION,42561,EXPRESS AIR,2010-02-08
56,5,73,41,338993,0.08,35,0.59,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,FURNITURE,OFFICE FURNISHINGS,8995,EXPRESS AIR,2011-05-18
56,6,73,41,27084,0.01,41,0.36,BETH PAIGE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CONSUMER,2011-05-17,HIGH,OFFICE SUPPLIES,PAPER,8995,EXPRESS AIR,2011-05-18
